ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2312303,Liebherr,HCB1580,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,29.8,14.1,17.4,507,584,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HCB1580_03062018040405_70174509,No
2312304,Liebherr,HCB1581,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,29.8,14.1,17.4,507,584,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HCB1581_03062018040405_70174509,No
2222467,Liebherr,HCB 2060,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,35.5,18.9,23.5,556,642,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HCB 2060_10022014105208_2767851,No
2222466,Liebherr,HCB 2061,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,35.5,18.9,23.5,556,642,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HCB 2061_10022014105208_2767851,No
2222465,Liebherr,HCB 2062,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,35.5,18.9,23.5,556,642,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HCB 2062_10022014105208_2767851,No
2312305,Liebherr,HCB 2080,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,35.9,18.9,23.5,556,642,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HCB 2080_03062018040405_70174509,No
2312306,Liebherr,HCB 2081,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,35.9,18.9,23.5,556,642,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HCB 2081_03062018040405_70174509,No
2312307,Liebherr,HCB 2082,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.8,35.9,18.9,23.5,556,642,15,No,,,,05/07/2018,03/02/2018,"United States, Canada",ES_1017655_HCB 2082_03062018040405_70174509,No
2207542,Liebherr,HRB 1120,,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,No,Yes,No,No,No,69.7,21.5,10.9,10.9,283,316,10,No,,,,04/01/2014,03/28/2014,"United States, Canada",ES_1017655_HRB 1120_03282014113944_2712307,No
2330832,Liebherr,MRB2400,,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,No,Yes,No,No,Yes,83.8,23.8,11.5,11.5,230,321,28,No,,,,11/01/2018,10/05/2018,"United States, Canada",ES_1017655_MRB2400_12052018035621_70208456,No
2330833,Liebherr,MRB3000,,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,No,Yes,No,No,Yes,83.8,29.8,15,15,245,349,30,No,,,,11/01/2018,10/05/2018,"United States, Canada",ES_1017655_MRB3000_12052018035621_70208456,No
