ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2331969,TCL,TTW-10CRA2/J6U(ES),,10000,Through the Wall,No,None,"8a. Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",No,,10.6,10,708,No,,,,12/18/2018,12/24/2018,United States,ES_1126578_TTW-10CRA2/J6U(ES)_12242018054005_0005532
2320504,TCL,TTW-12CRA1/J6U(ES),,12000,Through the Wall,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,,10.5,11,857,No,,,,05/28/2018,05/28/2018,United States,ES_1126578_TTW-12CRA1/J6U(ES)_05282018080347_4627975
2320505,TCL,TTW-12CRA2/J6U(ES),,12000,Through the Wall,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",,,10.5,11,857,No,,,,05/28/2018,05/28/2018,United States,ES_1126578_TTW-12CRA2/J6U(ES)_05282018080818_4898979
2283157,TCL,TWAC-06CRA1/L1U(ES),",TWC-06CR/UH (ES),; ,TWC-06CRW/UH-C (ES),; ,TWC-06CRW/UH-C6A (ES),",6000,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,372,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-06CRA1/L1U(ES)_11022016023337_4017095
2283158,TCL,TWAC-08CRA1/L0U(ES),",TWC-08CR/UH (ES),",8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-08CRA1/L0U(ES)_11022016023355_4035085
2283159,TCL,TWAC-10CRA1/L0U(ES),",TWC-10CR/UH (ES),",10000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,625,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-10CRA1/L0U(ES)_11022016023415_4055466
2283160,TCL,TWAC-12CRA1/L0U(ES),",TWC-12CR/UH (ES),",12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-12CRA1/L0U(ES)_11022016023439_4079201
2283161,TCL,TWAC-15CRA1/K8U(ES),",TWC-15CR/UH (ES),",15000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,953,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-15CRA1/K8U(ES)_11022016023456_4096273
2283162,TCL,TWAC-18CRA2/K8U(ES),",TWC-18CR2/UH (ES),",18000,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1144,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-18CRA2/K8U(ES)_11022016023511_4111052
2283163,TCL,TWAC-22CRA2/J3U(ES),,22000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1602,No,,,,10/30/2016,10/31/2016,United States,ES_1126578_TWAC-22CRA2/J3U(ES)_11022016023525_4125768
