ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2310474,LG,WM5005H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,4.5,2.92,1.84,105,2.8,4.7,3676,No,,,,No,,05/24/2017,02/08/2018,"United States, Canada",ES_1118034_WM5005H*A_02092018060252_70172585,No
2310481,LG,WM8100H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.92,1.84,120,3.2,4.7,4880,No,,,,No,,05/02/2016,02/08/2018,"United States, Canada",ES_1118034_WM8100H*A_02092018060252_70172585,Yes
2310504,LG,WM9000H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,5.2,2.92,1.84,120,3.2,4.7,4880,No,,,,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WM9000H*A_02092018060252_70172585,Yes
2310479,LG,WM9500H*A,,1,Front Load,"Steam Cycle,Sanitize Option",Residential,5.8,3.1,1.84,120,2.7,4.7,4588,No,,,,No,,06/26/2016,02/08/2018,"United States, Canada",ES_1118034_WM9500H*A_02092018060252_70172585,Yes
2310494,LG,WT1150C*,,1,Top Load,None,Residential,4.5,2.38,1.29,140,3.7,8.4,4901,No,,,,No,,09/30/2016,02/09/2018,"United States, Canada",ES_1118034_WT1150C*_02092018060252_70172585,No
2310503,LG,WT1501C*,,1,Top Load,None,Residential,4.5,2.38,1.29,140,3.7,8.4,4901,No,,,,No,,06/29/2015,02/09/2018,"United States, Canada",ES_1118034_WT1501C*_02092018060252_70172585,No
2310493,LG,WT1901C*,,1,Top Load,None,Residential,5,2.38,1.29,130,3.7,8.4,5479,No,,,,No,,12/22/2016,02/09/2018,"United States, Canada",ES_1118034_WT1901C*_02092018060252_70172585,No
2310495,LG,WT5275C*,,1,Top Load,None,Residential,4.5,2.38,1.29,140,3.7,8.4,4901,No,,,,No,,06/30/2016,02/09/2018,"United States, Canada",ES_1118034_WT5275C*_02092018060252_70172585,No
2310501,LG,WT5680H*A,,1,Top Load,"Steam Cycle,Sanitize Option",Residential,5,2.38,1.29,135,3.7,8.4,5479,No,,,,No,,02/15/2015,02/09/2018,"United States, Canada",ES_1118034_WT5680H*A_02092018060252_70172585,No
2310477,LG,WT7050C*,,1,Top Load,None,Residential,4.5,2.06,1.29,180,4.3,8.4,5696,No,,,,No,,04/16/2017,02/08/2018,"United States, Canada",ES_1118034_WT7050C*_02092018060252_70172585,No
